# WO-27 criterion 1 — the full matrix: every §4 state × light/dark × 320/412/1440.
# The 320 and 412 rows come from web/e2e/axe-matrix.spec.ts; the 1440 rows from
# web/e2e/axe.spec.ts (WO-22), in the same `npm run e2e` invocation.
# axe-core 4.13.0, tags: wcag2a, wcag2aa, wcag21a, wcag21aa, wcag22aa, best-practice
state	theme	width	§4 rows	violations	gated	unlisted	incomplete	passes
submission-error-500	light	1440	(see WO-22)	0	0	0	0	40
submission-error-500	light	320	17	0	0	0	0	41
submission-error-500	light	412	17	0	0	0	0	40
thread-empty	dark	1440	(see WO-22)	0	0	0	0	41
thread-empty	dark	320	5+B	0	0	0	1	40
thread-empty	dark	412	5+B	0	0	0	0	39
thread-empty	light	1440	(see WO-22)	0	0	0	0	41
thread-empty	light	320	5+B	0	0	0	1	40
thread-empty	light	412	5+B	0	0	0	0	39
thread-not-found-inline	dark	1440	(see WO-22)	0	0	0	0	40
thread-not-found-inline	dark	320	21	0	0	0	0	37
thread-not-found-inline	dark	412	21	0	0	0	0	37
thread-not-found-inline	light	1440	(see WO-22)	0	0	0	0	40
thread-not-found-inline	light	320	21	0	0	0	0	37
thread-not-found-inline	light	412	21	0	0	0	0	37
thread-populated	dark	1440	(see WO-22)	0	0	0	0	46
thread-populated	dark	320	7	0	0	0	1	46
thread-populated	dark	412	7	0	0	0	0	46
thread-populated	light	1440	(see WO-22)	0	0	0	0	46
thread-populated	light	320	7	0	0	0	1	46
thread-populated	light	412	7	0	0	0	0	46
unauthorized-401	dark	1440	(see WO-22)	0	0	0	0	40
unauthorized-401	dark	320	19	0	0	0	0	41
unauthorized-401	dark	412	19	0	0	0	0	40
unauthorized-401	light	1440	(see WO-22)	0	0	0	0	40
unauthorized-401	light	320	19	0	0	0	0	41
unauthorized-401	light	412	19	0	0	0	0	40
validation-422	dark	1440	(see WO-22)	0	0	0	0	40
validation-422	dark	320	20	0	0	0	0	41
validation-422	dark	412	20	0	0	0	0	40
validation-422	light	1440	(see WO-22)	0	0	0	0	40
validation-422	light	320	20	0	0	0	0	41
validation-422	light	412	20	0	0	0	0	40
